name,primary_muscle_group,equipment,rating
Rickshaw Carry,Forearms,Other,9.6
Single-Leg Press,Quadriceps,Machine,9.6
Landmine twist,Abdominals,Other,9.5
Weighted pull-up,Lats,Other,9.5
T-Bar Row with Handle,Middle Back,Other,9.5
Palms-down wrist curl over bench,Forearms,Barbell,9.5
Atlas Stones,Lower Back,Other,9.5
Dumbbell front raise to lateral raise,Shoulders,Dumbbell,9.5
Clean from Blocks,Quadriceps,Barbell,9.5
Incline Hammer Curls,Biceps,Dumbbell,9.5
Straight-bar wrist roll-up,Forearms,,9.5
Barbell glute bridge,Glutes,Barbell,9.4
Clean and press,Shoulders,Barbell,9.4
Triceps dip,Triceps,Body Only,9.4
Dumbbell farmer's walk,Forearms,Other,9.4
Palms-up wrist curl over bench,Forearms,Barbell,9.4
Barbell Full Squat,Quadriceps,Barbell,9.4
Barbell deficit deadlift,Lower Back,Barbell,9.4
Barbell Deadlift,Hamstrings,Barbell,9.4
Single-arm palm-in dumbbell shoulder press,Shoulders,Dumbbell,9.4
Romanian Deadlift With Dumbbells,Hamstrings,Dumbbell,9.4
Tire flip,Quadriceps,Other,9.4
Clean Deadlift,Hamstrings,Barbell,9.4
Elbow plank,Abdominals,Body Only,9.3
Bottoms Up,Abdominals,Body Only,9.3
Barbell back squat to box,Quadriceps,Barbell,9.3
Clean and jerk,Shoulders,Barbell,9.3
Single-arm kettlebell push-press,Shoulders,Kettlebells,9.3
Push-press,Quadriceps,Barbell,9.3
Suspended ab fall-out,Abdominals,Other,9.3
Military press,Shoulders,Barbell,9.3
Power snatch-,Quadriceps,Barbell,9.3
Sumo deadlift,Hamstrings,Barbell,9.3
Hang Clean,Quadriceps,Barbell,9.3
Dumbbell V-Sit Cross Jab,Abdominals,Dumbbell,9.3
Reverse Band Box Squat,Quadriceps,,9.3
Standing palms-in shoulder press,Shoulders,Dumbbell,9.3
Standing cable low-to-high twist,Abdominals,Cable,9.3
Decline EZ-bar skullcrusher,Triceps,E-Z Curl Bar,9.3
Standing behind-the-back wrist curl,Forearms,Barbell,9.3
Seated finger curl,Forearms,Barbell,9.3
Wide-grip barbell curl,Biceps,Barbell,9.3
Dumbbell spell caster,Abdominals,Dumbbell,9.3
Dumbbell floor press,Triceps,Dumbbell,9.3
Lying Face Down Plate Neck Resistance,Neck,Other,9.3
Pullups,Lats,Body Only,9.2
Decline reverse crunch,Abdominals,Other,9.2
Dumbbell Bench Press,Chest,Dumbbell,9.2
Jumping rope,Quadriceps,Body Only,9.2
Seated barbell shoulder press,Shoulders,Barbell,9.2
EZ-bar spider curl,Biceps,Barbell,9.2
Smith machine shrug,Traps,Machine,9.2
Smith Machine Calf Raise,Calves,Machine,9.2
Romanian Deadlift from Deficit,Hamstrings,Barbell,9.2
Power Snatch,Hamstrings,Barbell,9.2
Pushups,Chest,Body Only,9.2
Barbell walking lunge,Quadriceps,Barbell,9.2
Front Squats With Two Kettlebells,Quadriceps,Kettlebells,9.2
Spider crawl,Abdominals,Body Only,9.2
Power Clean from Blocks,Hamstrings,Barbell,9.2
Single Leg Push-off,Quadriceps,Other,9.2
Hip Circles (Prone),Abductors,,9.2
